Country,Region,Year,Value
United Kingdom,Europe and Eurasia,2000,4
United Kingdom,Europe and Eurasia,2001,1
United Kingdom,Europe and Eurasia,2003,3
United Kingdom,Europe and Eurasia,2004,1
United Kingdom,Europe and Eurasia,2006,3
United Kingdom,Europe and Eurasia,2010,1
United Kingdom,Europe and Eurasia,2014,2
United Kingdom,Europe and Eurasia,2015,1
United Kingdom,Europe and Eurasia,2016,1
United Nations,Cross-regional,1996,1
United Nations,Cross-regional,1998,2
United States of America,Cross-regional,1990,1
United States of America,Cross-regional,1993,1
United States of America,Cross-regional,1994,1
United States of America,Cross-regional,2005,1
United States of America,Cross-regional,2008,1
United States of America,Cross-regional,2018,1
Venezuela,Americas,2010,1
Western Sahara,Middle East and North Africa,1990,1
Western Sahara,Middle East and North Africa,1991,1
Western Sahara,Middle East and North Africa,1997,3
Western Sahara,Middle East and North Africa,2004,1
Western Sahara,Middle East and North Africa,2007,2
Western Sahara,Middle East and North Africa,2008,2
Western Sahara,Middle East and North Africa,2010,1
Yemen,Middle East and North Africa,1990,1
Yemen,Middle East and North Africa,1994,1
Yemen,Middle East and North Africa,1995,1
Yemen,Middle East and North Africa,2000,1
Yemen,Middle East and North Africa,2008,1
Yemen,Middle East and North Africa,2010,1
Yemen,Middle East and North Africa,2011,4
Yemen,Middle East and North Africa,2014,19
Yemen,Middle East and North Africa,2015,3
Yemen,Middle East and North Africa,2016,10
Yemen,Middle East and North Africa,2018,6
Yugoslavia (former),Europe and Eurasia,1991,23
Yugoslavia (former),Europe and Eurasia,1992,45
Yugoslavia (former),Europe and Eurasia,1993,44
Yugoslavia (former),Europe and Eurasia,1994,27
Yugoslavia (former),Europe and Eurasia,1995,27
Yugoslavia (former),Europe and Eurasia,1996,9
Yugoslavia (former),Europe and Eurasia,1997,4
Yugoslavia (former),Europe and Eurasia,1998,2
Yugoslavia (former),Europe and Eurasia,1999,5
Yugoslavia (former),Europe and Eurasia,2001,4
Yugoslavia (former),Europe and Eurasia,2011,5
Yugoslavia (former),Europe and Eurasia,2012,2
Yugoslavia (former),Europe and Eurasia,2013,3
Yugoslavia (former),Europe and Eurasia,2015,5
Yugoslavia (former),Europe and Eurasia,2016,3
Zambia,Africa (excl MENA),2004,1
Zambia,Africa (excl MENA),2006,2
Zambia,Africa (excl MENA),2013,1
Zimbabwe,Africa (excl MENA),2008,2
Zimbabwe,Africa (excl MENA),2013,1
