Year,Group_type,Count
1990,GCh,4.545454545454546
1990,GDis,2.272727272727273
1990,GAge,0.0
1990,GMig,0.0
1990,GRa,4.545454545454546
1990,GRe,6.818181818181818
1990,GInd,0.0
1990,GOth,0.0
1990,GRef,4.545454545454546
1991,GCh,3.5714285714285716
1991,GDis,3.5714285714285716
1991,GAge,2.380952380952381
1991,GMig,0.0
1991,GRa,11.904761904761905
1991,GRe,7.142857142857143
1991,GInd,3.5714285714285716
1991,GOth,0.0
1991,GRef,10.714285714285714
1992,GCh,1.2048192771084338
1992,GDis,4.819277108433735
1992,GAge,0.0
1992,GMig,0.0
1992,GRa,13.25301204819277
1992,GRe,7.228915662650603
1992,GInd,0.0
1992,GOth,0.0
1992,GRef,13.25301204819277
1993,GCh,7.608695652173913
1993,GDis,3.260869565217391
1993,GAge,2.1739130434782608
1993,GMig,0.0
1993,GRa,15.217391304347826
1993,GRe,8.695652173913043
1993,GInd,3.260869565217391
1993,GOth,2.1739130434782608
1993,GRef,17.391304347826086
1994,GCh,10.75268817204301
1994,GDis,3.225806451612903
1994,GAge,4.301075268817204
1994,GMig,2.150537634408602
1994,GRa,12.903225806451612
1994,GRe,4.301075268817204
1994,GInd,4.301075268817204
1994,GOth,2.150537634408602
1994,GRef,9.67741935483871
1995,GCh,10.76923076923077
1995,GDis,3.076923076923077
1995,GAge,4.615384615384615
1995,GMig,4.615384615384615
1995,GRa,21.53846153846154
1995,GRe,9.23076923076923
1995,GInd,3.076923076923077
1995,GOth,0.0
1995,GRef,16.923076923076923
1996,GCh,13.636363636363637
1996,GDis,4.545454545454546
1996,GAge,1.5151515151515151
1996,GMig,6.0606060606060606
1996,GRa,21.21212121212121
1996,GRe,7.575757575757576
1996,GInd,18.181818181818183
1996,GOth,4.545454545454546
1996,GRef,12.121212121212121
1997,GCh,1.3888888888888888
1997,GDis,1.3888888888888888
1997,GAge,0.0
1997,GMig,0.0
1997,GRa,8.333333333333334
1997,GRe,6.944444444444445
1997,GInd,1.3888888888888888
1997,GOth,1.3888888888888888
1997,GRef,16.666666666666668
1998,GCh,7.575757575757576
1998,GDis,3.0303030303030303
1998,GAge,1.5151515151515151
1998,GMig,1.5151515151515151
1998,GRa,6.0606060606060606
1998,GRe,4.545454545454546
1998,GInd,7.575757575757576
1998,GOth,0.0
1998,GRef,7.575757575757576
1999,GCh,8.235294117647058
1999,GDis,2.3529411764705883
1999,GAge,1.1764705882352942
1999,GMig,1.1764705882352942
1999,GRa,9.411764705882353
1999,GRe,5.882352941176471
1999,GInd,1.1764705882352942
1999,GOth,0.0
1999,GRef,9.411764705882353
2000,GCh,5.0
2000,GDis,3.3333333333333335
2000,GAge,3.3333333333333335
2000,GMig,0.0
2000,GRa,6.666666666666667
2000,GRe,6.666666666666667
2000,GInd,0.0
2000,GOth,1.6666666666666667
2000,GRef,8.333333333333334
2001,GCh,10.344827586206897
2001,GDis,5.172413793103448
2001,GAge,0.0
2001,GMig,1.7241379310344827
2001,GRa,13.793103448275861
2001,GRe,15.517241379310345
2001,GInd,3.4482758620689653
2001,GOth,1.7241379310344827
2001,GRef,10.344827586206897
2002,GCh,13.20754716981132
2002,GDis,5.660377358490566
2002,GAge,1.8867924528301887
2002,GMig,0.0
2002,GRa,9.433962264150944
2002,GRe,20.754716981132077
2002,GInd,0.0
2002,GOth,0.0
2002,GRef,9.433962264150944
2003,GCh,17.647058823529413
2003,GDis,9.803921568627452
2003,GAge,7.8431372549019605
2003,GMig,1.9607843137254901
2003,GRa,21.568627450980394
2003,GRe,25.49019607843137
2003,GInd,1.9607843137254901
2003,GOth,3.9215686274509802
2003,GRef,11.764705882352942
2004,GCh,17.02127659574468
2004,GDis,14.893617021276595
2004,GAge,12.76595744680851
2004,GMig,0.0
2004,GRa,21.27659574468085
2004,GRe,19.148936170212767
2004,GInd,2.127659574468085
2004,GOth,4.25531914893617
2004,GRef,21.27659574468085
2005,GCh,16.666666666666668
2005,GDis,16.666666666666668
2005,GAge,10.0
2005,GMig,0.0
2005,GRa,30.0
2005,GRe,30.0
2005,GInd,16.666666666666668
2005,GOth,10.0
2005,GRef,13.333333333333334
2006,GCh,16.39344262295082
2006,GDis,8.19672131147541
2006,GAge,3.278688524590164
2006,GMig,1.639344262295082
2006,GRa,11.475409836065573
2006,GRe,9.836065573770492
2006,GInd,13.114754098360656
2006,GOth,4.918032786885246
2006,GRef,16.39344262295082
2007,GCh,13.636363636363637
2007,GDis,6.818181818181818
2007,GAge,4.545454545454546
2007,GMig,0.0
2007,GRa,9.090909090909092
2007,GRe,4.545454545454546
2007,GInd,9.090909090909092
2007,GOth,6.818181818181818
2007,GRef,6.818181818181818
2008,GCh,14.0625
2008,GDis,10.9375
2008,GAge,4.6875
2008,GMig,0.0
2008,GRa,17.1875
2008,GRe,4.6875
2008,GInd,3.125
2008,GOth,0.0
2008,GRef,14.0625
2009,GCh,6.521739130434782
2009,GDis,6.521739130434782
2009,GAge,0.0
2009,GMig,0.0
2009,GRa,15.217391304347826
2009,GRe,6.521739130434782
2009,GInd,8.695652173913043
2009,GOth,0.0
2009,GRef,4.3478260869565215
2010,GCh,5.882352941176471
2010,GDis,2.9411764705882355
2010,GAge,2.9411764705882355
2010,GMig,0.0
2010,GRa,8.823529411764707
2010,GRe,11.764705882352942
2010,GInd,2.9411764705882355
2010,GOth,0.0
2010,GRef,2.9411764705882355
2011,GCh,12.0
2011,GDis,6.0
2011,GAge,2.0
2011,GMig,4.0
2011,GRa,8.0
2011,GRe,12.0
2011,GInd,2.0
2011,GOth,4.0
2011,GRef,12.0
2012,GCh,6.349206349206349
2012,GDis,6.349206349206349
2012,GAge,6.349206349206349
2012,GMig,0.0
2012,GRa,12.698412698412698
2012,GRe,11.11111111111111
2012,GInd,1.5873015873015872
2012,GOth,1.5873015873015872
2012,GRef,4.761904761904762
2013,GCh,19.047619047619047
2013,GDis,9.523809523809524
2013,GAge,7.142857142857143
2013,GMig,0.0
2013,GRa,28.571428571428573
2013,GRe,16.666666666666668
2013,GInd,11.904761904761905
2013,GOth,4.761904761904762
2013,GRef,26.19047619047619
2014,GCh,13.924050632911392
2014,GDis,7.594936708860759
2014,GAge,5.063291139240507
2014,GMig,1.2658227848101267
2014,GRa,12.658227848101266
2014,GRe,7.594936708860759
2014,GInd,6.329113924050633
2014,GOth,3.7974683544303796
2014,GRef,7.594936708860759
2015,GCh,22.388059701492537
2015,GDis,4.477611940298507
2015,GAge,8.955223880597014
2015,GMig,1.492537313432836
2015,GRa,22.388059701492537
2015,GRe,16.417910447761194
2015,GInd,4.477611940298507
2015,GOth,7.462686567164179
2015,GRef,14.925373134328359
2016,GCh,19.17808219178082
2016,GDis,6.8493150684931505
2016,GAge,2.73972602739726
2016,GMig,0.0
2016,GRa,13.698630136986301
2016,GRe,6.8493150684931505
2016,GInd,8.219178082191782
2016,GOth,4.109589041095891
2016,GRef,13.698630136986301
2017,GCh,7.936507936507937
2017,GDis,1.5873015873015872
2017,GAge,1.5873015873015872
2017,GMig,1.5873015873015872
2017,GRa,4.761904761904762
2017,GRe,1.5873015873015872
2017,GInd,3.1746031746031744
2017,GOth,0.0
2017,GRef,9.523809523809524
2018,GCh,5.769230769230769
2018,GDis,1.9230769230769231
2018,GAge,0.0
2018,GMig,0.0
2018,GRa,3.8461538461538463
2018,GRe,3.8461538461538463
2018,GInd,0.0
2018,GOth,3.8461538461538463
2018,GRef,11.538461538461538
2019,GCh,0.0
2019,GDis,0.0
2019,GAge,0.0
2019,GMig,0.0
2019,GRa,0.0
2019,GRe,0.0
2019,GInd,0.0
2019,GOth,0.0
2019,GRef,0.0
