Year,Grender_type,Count
1990,GeWom,6.818181818181818
1990,GeMe,0.0
1990,GeSo,0.0
1990,GeFa,11.363636363636363
1991,GeWom,10.714285714285714
1991,GeMe,1.1904761904761905
1991,GeSo,0.0
1991,GeFa,15.476190476190476
1992,GeWom,7.228915662650603
1992,GeMe,1.2048192771084338
1992,GeSo,0.0
1992,GeFa,6.024096385542169
1993,GeWom,11.956521739130435
1993,GeMe,3.260869565217391
1993,GeSo,1.0869565217391304
1993,GeFa,4.3478260869565215
1994,GeWom,12.903225806451612
1994,GeMe,1.075268817204301
1994,GeSo,0.0
1994,GeFa,12.903225806451612
1995,GeWom,18.46153846153846
1995,GeMe,6.153846153846154
1995,GeSo,0.0
1995,GeFa,6.153846153846154
1996,GeWom,21.21212121212121
1996,GeMe,1.5151515151515151
1996,GeSo,0.0
1996,GeFa,10.606060606060606
1997,GeWom,6.944444444444445
1997,GeMe,4.166666666666667
1997,GeSo,0.0
1997,GeFa,6.944444444444445
1998,GeWom,12.121212121212121
1998,GeMe,0.0
1998,GeSo,3.0303030303030303
1998,GeFa,6.0606060606060606
1999,GeWom,14.117647058823529
1999,GeMe,7.0588235294117645
1999,GeSo,0.0
1999,GeFa,8.235294117647058
2000,GeWom,13.333333333333334
2000,GeMe,5.0
2000,GeSo,0.0
2000,GeFa,8.333333333333334
2001,GeWom,17.24137931034483
2001,GeMe,5.172413793103448
2001,GeSo,0.0
2001,GeFa,13.793103448275861
2002,GeWom,20.754716981132077
2002,GeMe,1.8867924528301887
2002,GeSo,0.0
2002,GeFa,11.320754716981131
2003,GeWom,33.333333333333336
2003,GeMe,5.882352941176471
2003,GeSo,1.9607843137254901
2003,GeFa,11.764705882352942
2004,GeWom,29.78723404255319
2004,GeMe,6.382978723404255
2004,GeSo,0.0
2004,GeFa,10.638297872340425
2005,GeWom,33.333333333333336
2005,GeMe,13.333333333333334
2005,GeSo,3.3333333333333335
2005,GeFa,26.666666666666668
2006,GeWom,31.147540983606557
2006,GeMe,9.836065573770492
2006,GeSo,0.0
2006,GeFa,14.754098360655737
2007,GeWom,25.0
2007,GeMe,4.545454545454546
2007,GeSo,0.0
2007,GeFa,15.909090909090908
2008,GeWom,32.8125
2008,GeMe,9.375
2008,GeSo,0.0
2008,GeFa,12.5
2009,GeWom,17.391304347826086
2009,GeMe,6.521739130434782
2009,GeSo,0.0
2009,GeFa,6.521739130434782
2010,GeWom,23.529411764705884
2010,GeMe,14.705882352941176
2010,GeSo,0.0
2010,GeFa,8.823529411764707
2011,GeWom,32.0
2011,GeMe,10.0
2011,GeSo,0.0
2011,GeFa,14.0
2012,GeWom,20.634920634920636
2012,GeMe,6.349206349206349
2012,GeSo,0.0
2012,GeFa,14.285714285714286
2013,GeWom,45.23809523809524
2013,GeMe,14.285714285714286
2013,GeSo,4.761904761904762
2013,GeFa,11.904761904761905
2014,GeWom,26.582278481012658
2014,GeMe,5.063291139240507
2014,GeSo,0.0
2014,GeFa,12.658227848101266
2015,GeWom,38.80597014925373
2015,GeMe,10.447761194029852
2015,GeSo,2.985074626865672
2015,GeFa,10.447761194029852
2016,GeWom,28.767123287671232
2016,GeMe,8.219178082191782
2016,GeSo,2.73972602739726
2016,GeFa,9.58904109589041
2017,GeWom,6.349206349206349
2017,GeMe,1.5873015873015872
2017,GeSo,0.0
2017,GeFa,7.936507936507937
2018,GeWom,7.6923076923076925
2018,GeMe,1.9230769230769231
2018,GeSo,0.0
2018,GeFa,11.538461538461538
2019,GeWom,0.0
2019,GeMe,0.0
2019,GeSo,0.0
2019,GeFa,0.0
