Field,Value,Year
Colombia_gdp,4.08735367309494,1980
Colombia_gdp,2.27687274732989,1981
Colombia_gdp,0.9484207864084481,1982
Colombia_gdp,1.5739560382876798,1983
Colombia_gdp,3.35068373898201,1984
Colombia_gdp,3.10710619368098,1985
Colombia_gdp,5.82407613847742,1986
Colombia_gdp,5.368932148136031,1987
Colombia_gdp,4.06417324517207,1988
Colombia_gdp,3.41409610863153,1989
Colombia_gdp,4.2819983320757204,1990
Colombia_gdp,2.00160759679279,1991
Colombia_gdp,4.044929437740779,1992
Colombia_gdp,5.3854099385677,1993
Colombia_gdp,5.81466190787816,1994
Colombia_gdp,5.2024375925092,1995
Colombia_gdp,2.05585471217387,1996
Colombia_gdp,3.43029367827623,1997
Colombia_gdp,0.569784089866261,1998
Colombia_gdp,-4.20401524369927,1999
Colombia_gdp,2.92486148314592,2000
Colombia_gdp,1.6778983076995502,2001
Colombia_gdp,2.5039804655068596,2002
Colombia_gdp,3.91827190359832,2003
Colombia_gdp,5.333022067452361,2004
Colombia_gdp,4.7065559137039195,2005
Colombia_gdp,6.7794054393245196,2006
Colombia_gdp,6.8486547845695,2007
Colombia_gdp,3.25704846539303,2008
Colombia_gdp,1.20542209549299,2009
Colombia_gdp,4.34755326848266,2010
Colombia_gdp,7.3625309144717095,2011
Colombia_gdp,3.9030542192759703,2012
Colombia_gdp,4.56686977279675,2013
Colombia_gdp,4.72831224597601,2014
Colombia_gdp,2.95594590662741,2015
Colombia_gdp,2.08738250162794,2016
Colombia_gdp,1.35132667631581,2017
Colombia_gdp,2.6581210000000097,2018
Region_gdp,3.8445172121265387,1980
Region_gdp,2.5746703197457546,1981
Region_gdp,-0.9195460939072629,1982
Region_gdp,-0.6955793773570821,1983
Region_gdp,3.109332153969018,1984
Region_gdp,2.213874049234176,1985
Region_gdp,4.155007197184984,1986
Region_gdp,4.0534748438565025,1987
Region_gdp,3.2200887567439156,1988
Region_gdp,2.5980528125567517,1989
Region_gdp,2.1021557874070136,1990
Region_gdp,2.6733421263731505,1991
Region_gdp,3.6575743846217375,1992
Region_gdp,3.1055922941850462,1993
Region_gdp,3.423947193068725,1994
Region_gdp,3.4233125954505526,1995
Region_gdp,3.650631308724214,1996
Region_gdp,4.841096688847884,1997
Region_gdp,3.474849591785222,1998
Region_gdp,2.07237266615456,1999
Region_gdp,3.4637220563978657,2000
Region_gdp,1.1701829244866333,2001
Region_gdp,1.3049377011694776,2002
Region_gdp,3.1598861621374303,2003
Region_gdp,4.82711757429507,2004
Region_gdp,4.637637984771381,2005
Region_gdp,5.48098517483628,2006
Region_gdp,4.872096639820388,2007
Region_gdp,3.317544506010763,2008
Region_gdp,-1.8966868645730515,2009
Region_gdp,2.580714395064595,2010
Region_gdp,3.3127902142605423,2011
Region_gdp,2.032775140180899,2012
Region_gdp,2.6128171506747133,2013
Region_gdp,2.5054063819037773,2014
Region_gdp,2.212702777428871,2015
Region_gdp,1.7337450873052245,2016
Region_gdp,1.921594688043687,2017
Region_gdp,2.2700635186493305,2018
